bgp_prefix,sips
NA,17
35.160.0.0/11,2
71.208.0.0/12,1
35.0.0.0/9,1
214.0.0.0/8,1
46.80.0.0/12,1
58.80.0.0/15,1
63.96.0.0/12,1
66.88.0.0/15,1
74.72.0.0/15,1
82.76.0.0/14,1
91.95.0.0/16,1
94.97.0.0/16,1
95.79.0.0/16,1
171.68.0.0/14,1
186.98.0.0/17,1
211.98.0.0/19,1
58.103.0.0/16,1
58.104.0.0/13,1
71.100.0.0/15,1
71.192.0.0/12,1
75.231.0.0/16,1
78.192.0.0/11,1
94.224.0.0/14,1
119.248.0.0/14,1
162.192.0.0/12,1
175.96.64.0/18,1
191.202.0.0/15,1
195.224.0.0/16,1
199.68.56.0/21,1
202.74.58.0/24,1
75.75.128.0/18,1
46.221.128.0/17,1
46.249.224.0/19,1
74.211.164.0/22,1
74.253.232.0/22,1
203.196.174.0/23,1
207.244.192.0/18,1
210.250.160.0/19,1
218.184.192.0/18,1
